,Band,Song,Player,Technique,Difficulty,Score
0,The Beatles,Blackbird,Paul McCartney,"['Guitar', 'Acoustic Guitar (nylon)']",Intermediate,3/8
1,Isaac Albéniz,Asturias (Leyenda),Ýz 1,['Acoustic Guitar (nylon)'],Intermediate,5/8
2,AC/DC,Back In Black,Angus Young (Lead),['Distortion Guitar'],Intermediate,3/8
3,Pachelbel,Canon in D Major,,['Track: Acoustic Guitar (nylon)'],Intermediate,4/8
4,Led Zeppelin,"Babe, I'm Gonna Leave You",Jimmy Page,['Acoustic Guitar (steel)'],Beginner,2/8
5,Jimi Hendrix,Little Wing,Jimi Hendrix,['Electric Guitar (jazz) 1'],Intermediate,5/8
6,Pink Floyd,Shine On You Crazy Diamond (Parts I - IX),David Gilmour,"['Lap Steel Harmony', 'Overdriven Guitar']",Beginner,2/8
7,Kansas,Dust In The Wind,Guitar 1,['Acoustic Guitar (nylon)'],Intermediate,3/8
8,Francisco Tarrega,Capricho Arabe,Serenata para Guitarra,['Acoustic Guitar (nylon)'],Intermediate,5/8
9,Pachelbel,Canon In C,,['Track: Acoustic Guitar (nylon)'],Beginner,1/8
10,Frank Sinatra,Fly Me To The Moon (Fingerstyle),Nylon Guitar,['Acoustic Guitar (nylon)'],Intermediate,3/8
11,Marilyn Manson,Sweet Dreams,Daisy Berkowitz,"['Lead Guitar', 'Distortion Guitar']",Intermediate,4/8
12,Van Halen,Panama,Edward Van Halen,['Distortion Guitar'],Intermediate,4/8
13,Johnny Cash,Hurt,Acoustic Guitar (steel),[],Beginner,2/8
14,Metallica,Nothing Else Matters (Acoustic),Guitar 1,['Acoustic Guitar (steel)'],Intermediate,5/8
15,Kaare Norge,Nocturne Op. 9 No. 2 (Frederic Chopin),Classical Guitar,['Acoustic Guitar (nylon)'],Intermediate,5/8
16,Dire Straits,Sultans Of Swing,Mark Knopfler,"['Lead Guitar', 'Electric Guitar (clean)']",Intermediate,3/8
17,Papa Roach,Last Resort,Jerry Horton,['Distortion Guitar'],Intermediate,4/8
18,Metallica,Orion,Kirk Hammett,"['Lead Guitar', 'Distortion Guitar']",Intermediate,3/8
19,Slash,Anastasia,Slash,"['Lead Guitar', 'Distortion Guitar']",Intermediate,4/8
20,Red Hot Chili Peppers,Scar Tissue,John Frusciante (Main),['Electric Guitar (clean)'],Intermediate,3/8
21,Linkin Park,Numb (Fingerstyle),Nylon Guitar,['Acoustic Guitar (nylon)'],Beginner,2/8
22,Lynyrd Skynyrd,Sweet Home Alabama,Ed King ,['Electric Guitar (clean)'],Beginner,2/8
23,Slash,The Godfather Theme,SLASH,['Distortion Guitar'],Intermediate,4/8
24,Ozzy Osbourne,Crazy Train,Randy Rhoads (Lead Guitar),['Distortion Guitar'],Intermediate,5/8
25,Yiruma-Shunga Jung Fingerstyle,River flows in you-Yiruma (shunga jung),Track 1,['Acoustic Guitar (nylon)'],Intermediate,3/8
26,Megadeth,Hangar 18,Dave Mustaine,['Distortion Guitar'],Intermediate,5/8
27,Van Halen,Eruption,Eddie Van Halen,['Distortion Guitar'],Advanced,7/8
28,Led Zeppelin,Stairway To Heaven (Guitar Solo),Jimmy Page (Solo),['Overdriven Guitar'],Intermediate,5/8
29,Theme Songs,Pirates Of The Caribbean,Guitar 1,['Acoustic Guitar (steel)'],Beginner,2/8
30,Black Sabbath,Iron Man,Tony Iommi,"['Guitar', 'Distortion Guitar']",Intermediate,3/8
31,Dick Dale,Misirlou,Guitar 1,['Electric Guitar (clean)'],Intermediate,4/8
32,Ed Sheeran,I See Fire (Fingerstyle Cover By Gp),Nylon Guitar,['Acoustic Guitar (steel)'],Intermediate,3/8
33,Megadeth,Symphony Of Destruction,Marty Friedman,['Distortion Guitar'],Intermediate,3/8
34,Ludwig Van Beethoven,Moonlight Sonata (Acoustic Version),Acoustic Guitar (nylon),[],Intermediate,4/8
35,Guns N' Roses,Don't Cry,Guitar 1 (Slash),['Distortion Guitar'],Intermediate,3/8
36,Oasis,Wonderwall Bass,Noel Gallagher,"['Bass', 'Electric Bass (pick)']",,
37,AC/DC,You Shook Me All Night Long,Angus Young,['Distortion Guitar'],Intermediate,3/8
38,Mason Williams,Classical Gas,Mason Williams,['Acoustic Guitar (steel)'],Intermediate,3/8
39,JerryC,Canon Rock,Lead,['Distortion Guitar'],Intermediate,5/8
40,Muse,Psycho,Distortion Guitar,"['Matt Bellamy', 'Overdriven Guitar']",Intermediate,3/8
41,Megadeth,Holy Wars... The Punishment Due,Dave Mustaine,['Distortion Guitar'],Intermediate,5/8
42,Megadeth,Tornado Of Souls,Marty Friedman,['Distortion Guitar'],Intermediate,4/8
43,Slayer,Raining Blood,Kerry King,['Distortion Guitar'],Intermediate,5/8
44,Slayer,Angel Of Death,Jeff Hanneman,['Distortion Guitar'],Advanced,6/8
45,Slipknot,Psychosocial,Mick T.,"['Guitar', 'Distortion Guitar']",Intermediate,3/8
46,Blind Guardian,The Bards Song,Acoustic 1,['Acoustic Guitar (steel)'],Beginner,2/8
47,Red Hot Chili Peppers,Can't Stop,John Frusciante,['Overdriven Guitar'],Intermediate,3/8
48,Gary Moore,The Loner,Lead,['Distortion Guitar'],Intermediate,3/8
49,Sungha Jung,Howls Moving Castle,Track 1,['Acoustic Guitar (steel)'],Beginner,2/8
50,Children Of Bodom,Are You Dead Yet?,Alexi Laiho,['Distortion Guitar'],Intermediate,3/8
51,Estas Tonne,The Song Of The Golden Dragon,Estas Tonné,['Acoustic Guitar (nylon)'],Intermediate,5/8
52,AC/DC,Hells Bells,Angus Young,['Distortion Guitar'],Intermediate,4/8
53,Mayhem,Freezing Moon,Euronymous,['Distortion Guitar'],Intermediate,3/8
54,Foo Fighters,Everlong,Dave Grohl (Rhythm Guitar),['Distortion Guitar'],Intermediate,3/8
55,Guns N' Roses,November Rain,Slash (Lead),['Distortion Guitar'],Intermediate,3/8
56,Guns N' Roses,Paradise City,Slash,"['Lead', 'Distortion Guitar']",Intermediate,5/8
57,Avenged Sevenfold,Buried Alive,Clean Guitar (Synyster Gates),['Electric Guitar (clean)'],Intermediate,4/8
58,Metallica,Ride The Lightning,Kirk Hammett,"['Lead', 'Distortion Guitar']",Intermediate,3/8
59,Alan Walker,Faded Fingerstyle,Steel Guitar,['Acoustic Guitar (steel)'],Beginner,2/8
60,Johann Sebastian Bach,Bouree,Acoustic Guitar (steel),[],Intermediate,4/8
61,Король и Шут,Лесник,Solo Guitar,['Distortion Guitar'],Intermediate,3/8
62,As I Lay Dying,Through Struggle,Samuel Nicholas Keali'iokalani Hipa,['Distortion Guitar'],Intermediate,3/8
63,Lynyrd Skynyrd,Free Bird,Allen Collins (Lead Guitar-Right Stereo),['Distortion Guitar'],Advanced,6/8
64,Judas Priest,Breaking The Law,Glenn Tipton,['Distortion Guitar'],Intermediate,3/8
65,Ludwig Van Beethoven,Fur Elise Drum,Guitar,['Drums'],,
66,Кино,Спокойная ночь,Electric Guitar (clean),[],Intermediate,3/8
67,Gojira,Silvera,Joe Duplantier (Guitar),['Distortion Guitar'],Intermediate,4/8
68,Bullet For My Valentine,Waking The Demon,Matt Tuck,['Distortion Guitar'],Intermediate,4/8
69,Joe Hisaishi,Spirited Away Ost - One Summer's Day,Acoustic Guitar (nylon),[],Beginner,2/8
70,Blue Oyster Cult,Don't Fear The Reaper,Guitar 1,['Electric Guitar (clean)'],Beginner,2/8
71,Plain White T's,Hey There Delilah,Acoustic Guitar (steel),[],Beginner,2/8
72,Led Zeppelin,Whole Lotta Love,Jimmy Page Guitar 1 (w/dist) ,['Distortion Guitar'],Intermediate,3/8
73,Eddie Van Der Meer,Naruto Ost - Sadness & Sorrow (Fingerstyle),Steel Guitar,['Acoustic Guitar (steel)'],Beginner,2/8
74,Jimi Hendrix,Purple Haze,Jimi Hendrix,['Distortion Guitar'],Intermediate,3/8
75,Joe Satriani,"Always With Me, Always With You",Melody,['Distortion Guitar'],Intermediate,5/8
76,Lemon,Kenshi Yonezu 米津玄師,트랙 1,['Acoustic Guitar (nylon)'],Intermediate,3/8
77,Yann Tiersen,La Valse D'amélie (Acoustic),Solo,['Acoustic Guitar (nylon)'],Intermediate,4/8
78,Pantera,I'm Broken,Dimebag Darrell,['Distortion Guitar'],Intermediate,4/8
79,Eddie Van Der Meer,Unravel - Tokyo Ghoul OP 1,Steel Guitar,['Acoustic Guitar (steel)'],Intermediate,4/8
80,Killswitch Engage,My Curse,Adam D.,['Distortion Guitar'],Intermediate,4/8
81,The Police,Every Breath You Take,Andy Summers,['Electric Guitar (clean)'],Beginner,2/8
82,Gary Moore,Parisienne Walkways,Solo,['Distortion Guitar'],Intermediate,3/8
83,Disturbed,Down With The Sickness,Dan Donegan,"['Guitar', 'Distortion Guitar']",Intermediate,3/8
84,Firelake,Dirge For The Planet,Lead,['Acoustic Guitar (steel)'],Beginner,2/8
85,Alice in Chains,Man In The Box,Jerry Cantrell,"['Lead Guitar', 'Distortion Guitar']",Beginner,2/8
86,Jaskier,Toss A Coin To Your Witcher,Nylon Guitar,['Acoustic Guitar (nylon)'],Beginner,2/8
87,Carlos Santana,Smooth,C. Santana,['Distortion Guitar'],Intermediate,3/8
88,The White Stripes,Seven Nation Army Edit,Guitar 1,['Distortion Guitar'],Beginner,1/8
89,Avenged Sevenfold,Nightmare,Lead,"['Synyster Gates', 'Distortion Guitar']",Intermediate,3/8
90,Bon Jovi,You Give Love A Bad Name,Distortion Guitar,[],Beginner,2/8
